Dataset;Assembly;Method;Tool;Vtype;Value
LSK114_sequins;Bambu;Guided;Bambu;Precision;0.996894409937888
LSK114_sequins;Bambu-noRef;De novo;Bambu;Precision;0.839506172839506
LSK114_sequins;FLAIR;Guided;FLAIR;Precision;0.725720551378446
LSK114_sequins;FLAIR-noRef;De novo;FLAIR;Precision;0.166786916786917
LSK114_sequins;FLAMES;Guided;FLAMES;Precision;0.989795918367347
LSK114_sequins;RATTLE;Ab initio;RATTLE;Precision;0.611764705882353
LSK114_sequins;RNAbloom;Ab initio;RNAbloom;Precision;0.609738186462324
LSK114_sequins;RNAbloom2;Ab initio;RNAbloom2;Precision;0.621142719382835
LSK114_sequins;Stringtie2;Guided;Stringtie2;Precision;0.888392857142857
LSK114_sequins;Stringtie2-noRef;De novo;Stringtie2;Precision;0.732542761417739
LSK114_sequins;TALON;Guided;TALON;Precision;0.508458794937348
LSK114_sequins;TALON_reco;Guided;TALON;Precision;0.71484375
LSK114_sequins;isONclust;Ab initio;isONclust;Precision;0.704166666666667
LSK114_sequins;isONclust2;Ab initio;isONclust2;Precision;0.765881708652793
LSK114_sequins;isoQuant;Guided;isoQuant;Precision;0.966206123973114
LSK114_sequins;isoQuant-noRef;De novo;isoQuant;Precision;0.880597014925373
LSK114_sequins;Mandalorion;Guided;Mandalorion;Precision;0.87140902872777
LSK114_sequins;Bambu;Guided;Bambu;Sensitivity;1
LSK114_sequins;Bambu-noRef;De novo;Bambu;Sensitivity;0.436184210526316
LSK114_sequins;FLAIR;Guided;FLAIR;Sensitivity;0.515743670886076
LSK114_sequins;FLAIR-noRef;De novo;FLAIR;Sensitivity;0.43334082733813
LSK114_sequins;FLAMES;Guided;FLAMES;Sensitivity;0.3
LSK114_sequins;RATTLE;Ab initio;RATTLE;Sensitivity;0.30861013986014
LSK114_sequins;RNAbloom;Ab initio;RNAbloom;Sensitivity;0.504501748251748
LSK114_sequins;RNAbloom2;Ab initio;RNAbloom2;Sensitivity;0.517994966442953
LSK114_sequins;Stringtie2;Guided;Stringtie2;Sensitivity;0.623840408805031
LSK114_sequins;Stringtie2-noRef;De novo;Stringtie2;Sensitivity;0.506187080536913
LSK114_sequins;TALON;Guided;TALON;Sensitivity;0.569224683544304
