1351:3165|a8dbbb49-3cbd-4e87-92b9-3b11da22b68a,R2_46_1,full-splice_match,reference_match,38.490428,726.000
37:1249|9c2cab71-70a7-4799-9dda-06600703fb12,R1_72_2,full-splice_match,mono-exon,1.084870,12.000
49:846|4a154d27-bcf4-4987-9912-407e021b35f3,R1_11_2,full-splice_match,reference_match,1827.182355,11026.000
498:845|ae2c17de-5fbe-4a0f-9e65-718c5b5c5449,R2_150_2,incomplete-splice_match,mono-exon,1100.230725,1171.000
502:848|83247d1d-b30d-46ae-8155-9aae13f2ae62,R2_150_2,incomplete-splice_match,mono-exon,1067.148229,1172.000
507:857|177d7b8f-f6a3-4b56-9fa2-117481ff0f8c,R2_150_2,incomplete-splice_match,mono-exon,1035.154821,1172.000
53:1542|163eb694-9b35-4bbf-a6ff-97bc2e6f0c0d,R1_31_2,full-splice_match,reference_match,41.659344,574.000
53:898|7f5f5edf-8602-4336-9787-27fefa792486,R2_154_2,full-splice_match,reference_match,1517.506579,10652.000
54:1567|7d8d83b7-df31-43c2-85c1-8622544dfa6a,R1_52_2,full-splice_match,reference_match,0.493051,7.000
54:826|b279e3a9-df2e-4573-afa3-fd79da7474ff,R2_150_1,full-splice_match,reference_match,477.636165,2839.000
54:845|7e1849c1-72ba-4ee3-851a-eba0829ae2b4,R1_32_2,full-splice_match,reference_match,7.788642,47.000
55:2045|ab102a5f-dc3f-48a7-9311-f8559f500c3a,R2_68_2,full-splice_match,reference_match,0.302488,6.000
56:729|cb4908ad-4f71-4f4c-9711-8797ae5e70c8,R2_55_2,full-splice_match,reference_match,1.515406,7.000
56:764|46cdc9d4-1fcd-48b9-b22f-eca870067db5,R1_11_1,full-splice_match,reference_match,690.853453,3551.000
57:1980|1ada182a-338f-4f1e-a341-cb09d5698846,R2_53_2,incomplete-splice_match,3prime_fragment,106.500699,1758.000
57:661|3e65ce64-fb3b-467f-9ffe-b6c9e8271d63,R2_14_2,full-splice_match,reference_match,4850.468833,18781.000
57:837|b4b1eaf4-0ccf-4f6f-a1a7-8ba886a067a5,R1_11_2,full-splice_match,reference_match,1823.760666,11026.000
58:1134|9eb2f6d7-a978-49c1-8f63-a58abd2247c9,R2_14_1,full-splice_match,reference_match,731.771173,6777.000
58:1445|c128816d-7d79-448d-903f-2532eda1faf2,R2_45_1,full-splice_match,reference_match,3.989949,51.000
58:1553|c8105af3-5e09-4f7a-8206-c44b052fa759-1,R1_102_1,full-splice_match,reference_match,6.339565,89.000
58:740|b98e64d7-05f0-4d05-b6b2-76dac31ac48c,R2_153_1,full-splice_match,reference_match,1.064175,5.000
58:794|0096ce76-f613-4580-a157-74ec1fc94411,R2_14_1,full-splice_match,alternative_5end,325.784044,2036.000
59:2006|4b51676c-2310-48d9-901e-ff99eed0709c,R1_13_1,full-splice_match,reference_match,40.219645,770.000
59:623|3545189c-ac6d-4a56-8c8a-da9391d074e1,R2_6_1,full-splice_match,reference_match,1083.272349,3618.000
60:1025|27faec34-be9e-41cf-be5e-28f6b42e7aa5,R1_62_1,full-splice_match,reference_match,2.756289,22.000
60:1445|cd6c2f72-7ed3-4920-97ff-cf8fea26c8d3,R2_42_1,full-splice_match,reference_match,110.941903,1403.000
60:1485|e97c34a7-e621-48ce-aaf8-84591655c1c1,R2_26_2,full-splice_match,reference_match,13.775001,182.000
60:681|f73aea82-70b0-4891-b733-77c363f98d9d,R2_14_2,full-splice_match,reference_match,4864.693081,18781.000
60:731|f0d573f0-d8b8-4e6c-8fba-9b5f43c26d22,R1_14_1,full-splice_match,mono-exon,3565.931113,17683.000
60:733|0b168723-2ba5-4690-909e-b4c5c186407a,R1_31_1,full-splice_match,reference_match,272.446773,1277.000
60:854|6b470e49-abf7-48c0-8f5d-9ff9a4a10265,R1_11_2,full-splice_match,reference_match,1810.529458,11028.000
60:922|0443f8ac-a386-47f8-a16a-3c49c23f1a2c,R2_19_2,incomplete-splice_match,5prime_fragment,0.434393,3.000
60:969|9b382685-6e49-42ad-8810-ef10941e7901,R2_154_1,full-splice_match,reference_match,272.373710,2026.000
61:1299|6bfe4fcd-e09e-478e-995e-866d25542b43,R2_32_2,full-splice_match,reference_match,13.608957,155.000
61:1711|304ef34e-b125-452c-b200-58ff0203e908,R1_92_1,incomplete-splice_match,3prime_fragment,220.363673,1704.000
61:657|65cbec51-66d8-4104-a955-65ac2fde452e,R2_14_2,full-splice_match,reference_match,4864.952103,18782.000
62:1068|298f229f-7a91-43e6-98b0-2919ba08f05b,R2_46_3,full-splice_match,reference_match,60.496000,513.000
62:1631|0959efd2-a9bb-49bf-9128-0863162f2592,R2_63_1,full-splice_match,reference_match,0.401180,6.000
62:302|0720d75b-423d-4d7e-91cf-7b31665d8fc8,R2_54_1,incomplete-splice_match,5prime_fragment,46.280559,7.000
62:692|168ca369-1534-4c58-8a1b-a5c9163f6253,R2_14_2,full-splice_match,reference_match,4595.670345,18783.000
62:708|a9d6b13d-3c45-4d17-a219-bc930ce22ca1,R2_41_2,full-splice_match,reference_match,838.981589,3486.000
63:1144|e4e50a91-50c2-4e4e-9d30-87d272fd4aba,R2_14_1,full-splice_match,reference_match,733.390852,6792.000
63:1433|d8c70734-fbda-46b0-8b76-9884c1772872,R2_42_1,full-splice_match,reference_match,110.743616,1403.000
63:1923|9f5712fe-6153-4f08-8bab-653a5b7cda32,R1_103_2,full-splice_match,reference_match,165.158490,3003.000
63:2429|40555f1f-0e2d-4c21-beb1-4210c2705bc5,R2_72_3,full-splice_match,reference_match,175.064036,3195.000
63:742|6769140c-1430-4dd7-b194-309bd4f2d694,R2_42_2,full-splice_match,reference_match,580.491067,2780.000
63:773|5e376d82-8988-4c5f-ae6e-5d987e78f9aa,R1_11_1,full-splice_match,reference_match,701.116276,3572.000
63:968|00c3f149-b712-4dec-bad9-48de8ddfb496,R1_73_2,incomplete-splice_match,5prime_fragment,685.270094,3243.000
64:1435|20f13cd7-7b4e-4f81-9d8f-26a1c97f0f99,R1_102_2,full-splice_match,reference_match,2.703062,34.000
64:1456|b4cbc513-b7b0-4a74-bd34-65b598a0be55,R2_57_1,full-splice_match,reference_match,2.395557,31.000
64:2253|5748b608-ff0c-4a2f-8d1a-227965e0a36d,R2_41_1,full-splice_match,reference_match,16.059367,352.000
64:2569|d885bb89-7be4-4f03-a33c-20e554ad919f,R2_59_2,full-splice_match,reference_match,0.395551,10.000
64:802|68f4b5fd-e32d-4057-9960-f510cfa8cbc0,R1_92_2,full-splice_match,reference_match,238.870459,1290.000
64:874|21441392-201d-48cb-9b51-6a67b67bd264,R2_14_3,full-splice_match,alternative_3end,717.453672,4500.000
65:1086|e315d350-b6d1-403d-afab-de0c87669490,R1_92_1,incomplete-splice_match,3prime_fragment,179.763126,1156.000
65:1174|51ba4443-4e59-43b6-8bd1-5f32c59ee1f9,R2_59_3,full-splice_match,reference_match,1.270885,12.000
65:1761|ed71ae50-90d3-4338-be60-875c7bbbf20c,R2_53_3,full-splice_match,reference_match,106.177773,1713.000
65:1799|fe2b20a5-fe5e-48d5-8e00-94b246819bb9,R2_45_4,full-splice_match,reference_match,6.649498,113.000
65:522|1c05b361-be97-4a9a-a1e0-587f63e8b7ba,R2_42_2,full-splice_match,alternative_5end,201.624931,436.000
65:661|3a3575cd-ed93-4109-864b-6158be826bc8,R2_14_2,full-splice_match,reference_match,4865.470148,18784.000
65:683|1529b282-2732-40cb-8803-41a614060c10,R1_91_1,full-splice_match,reference_match,6.908219,28.000
65:766|ae21ee17-782c-4901-9d0a-5382f406783d,R1_11_1,full-splice_match,reference_match,698.546698,3551.000
66:1126|170336a7-449c-4455-8cfb-92fcede4acc1,R2_117_1,full-splice_match,reference_match,55.133751,490.000
66:610|35ab0e26-c0d4-483f-9fb9-71ce0d2e1c3a,R1_61_2,full-splice_match,reference_match,9.607446,31.000
67:1164|60916766-28e7-46a1-9ee9-53b454345865,R2_14_1,full-splice_match,reference_match,730.828970,6760.000
67:1801|a59b34c3-cf68-4610-a1c0-8189fce20c8e,R2_7_2,full-splice_match,reference_match,215.617103,3608.000
67:2848|9a3e3736-e45c-49f7-af37-eecdf294d10a,R2_19_2,incomplete-splice_match,3prime_fragment,0.879881,26.000
67:651|dfe9340c-08f2-460d-8710-4cb8a6742255,R2_38_4,full-splice_match,reference_match,1264.410561,4996.000
67:681|eb3c18c9-2f5c-4ba5-8dfc-bff9169f2f13,R2_26_1,incomplete-splice_match,5prime_fragment,18.435753,67.000
68:1100|593b2686-37e9-4600-be9c-3301ef14c05f,R2_117_1,full-splice_match,reference_match,55.078134,492.000
68:1165|7d1b400f-e73d-4130-8e7a-2a15966eaf5e,R2_14_1,full-splice_match,reference_match,718.897375,6788.000
68:1191|602f0d23-2d9b-4383-b824-03d8b55d095b,R2_71_1,full-splice_match,reference_match,0.806635,8.000
68:1949|c98007d7-1c42-46cf-be79-7cfd89b0cc04,R1_103_2,full-splice_match,reference_match,165.852091,3025.000
68:832|db27fffc-3726-471b-a6a7-82b65f1b0a07,R1_11_2,full-splice_match,reference_match,1824.091477,11028.000
68:841|087ea834-8d0f-430c-ad73-7c149af2ed9a,R2_150_2,incomplete-splice_match,3prime_fragment,220.292246,2312.000
68:867|23d6e030-443d-4b46-a640-f0e8eeda567d,R1_11_2,full-splice_match,reference_match,1803.823794,11028.000
68:906|c9f4e998-092a-43f7-be7c-bd772420ce34,R2_38_1,full-splice_match,reference_match,106.489849,727.000
69:1190|0acda233-95a1-4c7a-a1cb-e336a597dbbd,R2_14_1,full-splice_match,reference_match,712.689184,6802.000
69:630|5b23d633-901e-4f5d-9d42-a70a330edcbb,R1_33_2,full-splice_match,reference_match,67.160190,587.000
69:630|5b23d633-901e-4f5d-9d42-a70a330edcbb-1,R1_33_2,full-splice_match,alternative_3end,89.209783,303.000
69:668|33095b3d-eba2-4a0e-914a-9e344c369e6d,R2_14_2,full-splice_match,reference_match,4850.985362,18783.000
69:733|671c7eb2-0b5d-45ad-83ec-f69d43d32d82,R1_31_1,full-splice_match,reference_match,273.983715,1278.000
70:1022|b654a065-6da3-4fa6-ba6f-703597a5f7c0,R1_32_1,full-splice_match,reference_match,9.545373,75.000
70:2014|d2ff52b4-921c-42c3-9ab2-09be6539861f,R2_46_1,full-splice_match,reference_match,39.062416,739.000
70:550|e1e368bf-5bcd-40d4-959b-bcdfafb9dff6,R1_71_2,full-splice_match,reference_match,64.132733,167.000
70:645|0ef28c8c-577f-4dbd-b689-8eb534da3afa,R2_38_4,full-splice_match,reference_match,1272.461859,4999.000
70:667|c44beb39-32c4-4816-a906-e125eb2ff5c1,R2_14_2,full-splice_match,reference_match,4807.522787,18778.000
70:729|35943950-3933-46b6-b943-f3626ac4e060,R1_31_1,full-splice_match,reference_match,276.669830,1278.000
70:908|bb2f2824-05d7-4a94-b274-96f210fcee50,R2_154_2,full-splice_match,reference_match,1520.243509,10654.000
71:1770|5a8cd664-2f64-4645-b62a-fc1f10ea5a5c,R2_19_1,full-splice_match,reference_match,2.209697,36.000
71:668|a1de80b9-1a7b-48a4-a720-19453c8dd610,R2_38_4,full-splice_match,reference_match,1264.663645,4997.000
71:805|311c4a67-7457-439f-8087-0702c57b008b,R1_92_2,full-splice_match,reference_match,239.155277,1278.000
72:1001|5cdad802-eb1d-4350-acff-046ba6a3fabf,R2_65_1,full-splice_match,mono-exon,996.827857,7584.000
72:1328|4dc64da6-c18c-4024-80da-49c5e9fa9c53,R2_14_1,full-splice_match,reference_match,730.789119,6801.000
72:1887|0318758c-dc3b-40ea-b2f9-2b7385cc6e2e,R2_72_2,full-splice_match,reference_match,150.178053,2615.000
